,City,T_Max,Latitude,Humidity,Cloudiness,Wind Speed
0,Nan,71.6,18.78,83,75,1.12
1,Mana,78.15,13.03,17,100,7.94
2,Tigil,21.81,57.8,89,54,14.03
3,San Policarpo,83.32,12.18,81,68,7.47
4,Mataura,57.0,-46.19,82,100,5.99
5,Avarua,80.6,-21.21,83,100,17.22
6,Baykit,-15.07,61.68,97,97,3.22
7,Saint George,48.2,39.45,93,20,1.7
8,Touros,78.8,-5.2,78,40,9.17
9,Hermanus,61.0,-34.42,91,98,19.3
10,Thompson,32.0,55.74,89,90,10.29
11,Kahului,82.4,20.89,58,40,24.16
12,Busselton,80.01,-33.64,30,0,10.38
13,Kavieng,82.71,-2.57,75,67,14.58
14,Ushuaia,48.2,-54.81,66,20,4.7
15,Richards Bay,73.44,-28.77,93,100,13.15
16,Atuona,79.7,-9.8,73,1,13.94
17,Tecoanapa,80.6,16.99,88,90,3.36
18,Ahipara,81.0,-35.17,62,0,25.95
19,Punta Arenas,50.0,-53.16,66,95,6.93
20,Rikitea,72.55,-23.12,74,0,11.52
21,Homer,43.0,59.64,70,90,19.46
22,Okhotsk,-3.66,59.36,74,100,14.03
23,Oshnaviyeh,28.4,37.04,86,40,4.7
24,Albany,37.4,42.65,47,75,19.46
25,Ilulissat,23.0,69.22,38,100,12.75
26,Port Elizabeth,44.6,39.31,52,1,10.29
27,Zapadnaya Dvina,20.23,56.26,46,97,8.52
28,Tuktoyaktuk,15.8,69.44,92,90,10.29
29,Ratnagiri,75.2,16.98,64,21,4.14
30,Barrow,43.7,-38.31,92,97,6.31
31,Bredasdorp,62.6,-34.53,63,100,8.05
32,Cabedelo,77.0,-6.97,83,20,8.05
33,Pelym,20.07,61.01,91,99,4.97
34,Pitimbu,77.0,-7.47,83,20,8.05
35,Tessalit,65.59,20.2,14,0,4.09
36,Longyearbyen,26.6,78.22,79,90,13.87
37,Port Hedland,104.0,-20.31,17,99,12.75
38,Ponta do Sol,67.05,-20.63,95,100,4.45
39,Ushtobe,19.06,45.25,51,0,2.57
40,Butaritari,83.01,3.07,76,100,15.48
41,Maracacume,73.13,-2.04,91,100,2.39
42,Hasaki,60.8,35.73,93,75,13.87
43,Puerto Ayora,69.01,-0.74,85,0,1.99
44,Tiksi,-19.97,71.64,88,100,4.27
45,Severo-Kurilsk,26.38,50.68,80,86,22.41
46,New Norfolk,64.99,-42.78,33,75,23.04
47,Vila Velha,86.0,-3.71,78,40,10.29
48,Calvinia,46.47,-31.47,85,52,8.05
49,Guerrero Negro,63.88,27.97,64,69,10.51
50,Tasiilaq,26.6,65.61,73,13,3.36
51,Yellowknife,21.2,62.45,100,90,14.99
52,Cape Town,63.0,-33.93,67,75,6.93
53,Manta,34.29,45.1,96,100,6.35
54,Ust-Ilimsk,-5.85,57.96,89,100,8.81
55,Moron,77.18,18.56,74,0,9.22
56,Klaksvik,46.4,62.23,87,100,6.93
57,San Quintin,85.17,17.54,64,72,3.06
58,Waharoa,84.99,-37.76,40,0,4.72
59,Murdochville,32.09,48.96,98,100,4.32
60,Boulsa,77.52,12.66,23,24,5.95
61,Bethel,24.8,60.79,85,90,8.05
62,Chokurdakh,-12.42,70.62,97,100,9.01
63,Zhiryatino,12.2,53.22,78,17,6.71
64,Harper,50.0,30.3,76,1,6.46
65,Iqaluit,28.4,63.75,92,90,10.29
66,Tautira,84.2,-17.73,66,75,14.99
67,Dikson,-6.93,73.51,98,100,10.18
68,Hariana,67.01,31.64,53,100,6.8
69,Jardim,72.16,-21.48,85,66,2.64
70,Hithadhoo,83.03,-0.6,74,6,7.67
71,Killybegs,42.01,54.63,95,95,1.01
72,Itaquyry,74.86,-24.93,60,0,4.25
73,Jhalida,59.0,23.36,82,0,4.25
74,Geraldton,24.8,49.72,85,90,12.75
75,Vaini,69.13,15.34,76,0,11.05
76,Salme,53.6,28.04,93,75,2.24
77,Matara,58.78,-3.48,92,99,0.72
78,Thaba-Tseka,50.13,-29.52,48,0,7.54
79,Hilo,77.0,19.71,73,90,10.29
80,Tashtagol,1.31,52.76,95,99,3.22
81,Kapaa,84.2,22.08,74,75,19.46
82,Aklavik,-4.0,68.22,83,90,2.24
83,Port Alfred,62.01,-33.59,92,0,2.98
84,Nyurba,-10.43,63.29,93,97,6.51
85,Ancud,51.8,-41.87,76,99,3.36
86,Delta,43.0,38.74,93,90,6.93
87,Adrar,60.8,27.87,36,1,9.17
88,Norman Wells,15.8,65.28,85,75,4.7
89,Hualmay,62.06,-11.1,87,100,3.4
90,Shediac,41.0,46.22,100,90,12.75
91,Sawankhalok,90.0,17.31,78,0,3.36
92,Bluff,89.65,-23.58,24,0,10.25
93,Bambous Virieux,79.0,-20.34,94,75,2.24
94,Puerto Leguizamo,75.38,-0.19,85,100,3.29
95,Trincomalee,78.94,8.58,90,23,4.38
96,Manokwari,80.38,-0.87,78,98,4.59
97,Bilibino,-26.5,68.06,99,99,1.52
98,Portland,36.0,43.66,55,1,17.22
99,Rocha,59.72,-34.48,71,65,9.89
100,Muros,57.0,42.77,87,40,8.05
101,Miyako,80.01,33.63,77,20,3.36
102,Srednekolymsk,-15.18,67.46,97,99,6.11
103,Cordoba,77.68,-27.78,51,86,17.67
104,Kenai,39.0,60.55,100,90,6.93
105,Dunedin,52.0,-45.87,84,100,20.0
106,Westport,43.0,41.14,44,1,10.29
107,Upernavik,13.64,72.79,55,100,6.13
108,Chilca,52.0,-13.22,71,40,1.12
109,Bathsheba,75.2,13.22,94,20,3.36
110,Baneh,35.6,35.99,59,100,4.7
111,Georgetown,75.2,6.8,100,75,11.56
112,Aswan,60.4,24.09,20,0,9.44
113,Evensk,2.08,61.92,69,83,3.65
114,Chadan,-4.83,51.29,78,91,0.49
115,Hobart,64.99,-42.88,33,75,23.04
116,Brigantine,44.6,39.41,60,1,11.41
117,Gejiu,60.82,23.36,72,13,5.53
118,Berezovyy,37.36,51.67,64,66,15.99
119,Ixtapa,82.0,20.71,78,90,2.24
120,College,28.4,64.86,92,90,3.36
121,San Pedro,57.99,-33.68,62,0,4.0
122,Chapais,12.2,49.78,85,90,12.75
123,Moose Factory,21.2,51.26,92,90,13.87
124,Cavalcante,67.69,-13.79,84,100,1.92
125,Aguas Vermelhas,63.82,-15.75,98,54,3.13
126,Ko Samui,86.0,9.54,62,20,6.93
127,Sitka,30.0,37.17,92,100,3.78
128,Ketchikan,50.0,55.34,93,75,5.82
129,Dehui,33.8,44.53,86,90,2.24
130,Cairns,91.99,-16.92,40,1,13.87
131,Qaanaaq,-3.69,77.48,60,16,9.06
132,Provideniya,2.64,64.42,87,20,7.99
133,Oyama,57.2,36.31,93,90,17.22
134,Castro,51.8,-42.48,76,100,3.36
135,Mahebourg,79.0,-20.41,94,75,2.24
136,Fortuna Foothills,62.6,32.66,55,1,8.05
137,Taltal,57.52,-25.41,93,7,1.01
138,Altay,-7.01,47.83,50,0,3.0
139,Indian Head,34.0,50.53,72,19,1.99
140,Auki,73.87,12.18,29,0,2.95
141,Fort Nelson,28.4,58.81,92,40,5.82
142,Saint-Augustin,28.99,45.63,54,20,17.22
143,Nuuk,32.0,64.17,52,100,16.11
144,Kasempa,63.54,-13.46,97,100,3.78
145,Mamou,67.51,10.37,55,97,1.95
146,Baldeogarh,70.11,24.81,37,0,3.49
147,Sept-Iles,32.0,50.2,98,90,12.75
148,Caala,57.79,-12.85,98,78,1.81
149,Gravdal,46.99,59.79,81,100,8.05
150,Phan Thiet,83.03,10.93,66,100,4.92
151,Ambon,51.8,47.55,93,67,13.87
152,Rio Gallegos,53.6,-51.62,54,20,4.7
153,Hirara,78.8,24.8,94,75,8.05
154,Dalvik,42.01,57.79,100,100,3.36
155,Mackay,41.0,53.65,52,75,6.93
156,Erenhot,23.99,43.65,46,0,5.88
157,Inhambane,77.49,-23.87,85,66,11.3
158,Torbay,37.99,47.66,100,90,23.04
159,Svogerslev,46.99,55.63,93,97,14.99
160,Saint Anthony,32.0,43.97,68,100,3.36
161,Tucupita,73.81,9.06,97,82,2.42
162,Kamenka,24.01,48.03,79,100,1.99
163,Faanui,80.98,-16.48,80,21,16.93
164,Kloulklubed,86.0,7.04,74,75,8.05
165,Port Blair,82.54,11.67,72,0,15.28
166,Jamestown,74.44,-33.21,26,0,10.65
167,Coihaique,55.4,-45.58,66,86,2.24
168,Oparino,13.82,59.85,90,100,7.65
169,San Cristobal,66.42,14.68,88,11,3.96
170,Najran,59.0,17.54,87,40,4.7
171,Aketi,69.48,2.74,98,100,2.84
172,Talnakh,-0.4,69.49,77,75,6.71
173,Constitucion,64.4,23.99,15,40,10.29
174,Arraial do Cabo,74.48,-22.97,88,100,24.7
175,Togur,8.29,58.36,92,100,11.45
176,Meulaboh,79.68,4.14,81,100,2.95
177,Saint-Francois,59.0,46.42,54,100,18.34
